End_Date,ISBN,Title,Author,Interval,Volume,Value,ASP,RRP,Binding,Imprint,Publisher_Group,Product_Class,Category
2012-04-07,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201214,684,3750.16,5.4827,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-04-14,9780722532935,The Alchemist,"Coelho, Paulo",201215,725,4863.68,6.7085,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-04-14,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201215,560,2961.79,5.2889,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-04-21,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201216,578,3148.53,5.4473,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-04-21,9780722532935,The Alchemist,"Coelho, Paulo",201216,824,5499.81,6.6745,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-04-28,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201217,609,3371.05,5.5354,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-04-28,9780722532935,The Alchemist,"Coelho, Paulo",201217,747,5027.98,6.7309,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-05-05,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201218,599,3191.3,5.3277,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-05-05,9780722532935,The Alchemist,"Coelho, Paulo",201218,763,5142.0,6.7392,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-05-12,9780722532935,The Alchemist,"Coelho, Paulo",201219,588,3995.39,6.7949,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-05-12,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201219,570,3071.96,5.3894,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-05-19,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201220,571,2993.66,5.2428,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-05-19,9780722532935,The Alchemist,"Coelho, Paulo",201220,530,3545.19,6.689,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
