Model,Stage,ROC AUC,Precision (Class 0),Recall (Class 0),F1 Score (Class 0),Precision (Class 1),Recall (Class 1),F1 Score (Class 1)
Base,1,0.8527676368454176,0.6257425742574257,0.4218958611481976,0.5039872408293461,0.903927224317728,0.9556650246305419,0.9290763968072976
Tuned,1,0.8602811109327217,0.6265560165975104,0.4032042723631509,0.49065800162469536,0.9013245033112582,0.9577762139338494,0.9286932787444558
Base,2,0.8950270319248543,0.6867704280155642,0.4855570839064649,0.5688960515713135,0.9160870540722459,0.9620640904806786,0.9385128146190093
Tuned,2,0.8934015927189989,0.7119341563786008,0.4759284731774415,0.5704863973619126,0.9150501672240803,0.9670122525918945,0.9403138962080422
Base,3,0.9928126289931237,0.893387314439946,0.9105914718019257,0.9019073569482289,0.9846335697399528,0.9813854853911405,0.9830068444654236
Tuned,3,0.9941959386672304,0.8893333333333333,0.9174690508940853,0.903182125930941,0.9857853589196873,0.9804429783223374,0.9831069108092144
