Model,Stage,Model,ROC-AUC,F1,Precision,Recall
Base,1,Model_6_4L_64U,0.8543012030800908,0.9288762446657184,0.8972245122286342,0.9628428192273666
Tuned,1,Model_7_adamO_16BS_0.001LR_0.2D,0.8526304305466957,0.9290377519159807,0.895485636114911,0.9652020053081687
Base,2,Model_1_2L_32U,0.8865748990707463,0.9367306040652734,0.9098998887652948,0.9651917404129794
Tuned,2,Model_7_adamO_16BS_0.001LR_0.2D,0.8876166601226252,0.9389589676671016,0.9232962646136299,0.9551622418879055
Base,3,Model_5_2L_32U,0.9845862655672677,0.9723543400713437,0.9799281006590773,0.9648967551622419
Tuned,3,do:0.2 lr:0.001 opt:adam bs:32 L1:0.001 L2:0.001,0.9837896543739367,0.9720269259536275,0.9860394537177541,0.9584070796460177
