Model,ROC_AUC,ROC_AUC_Manual,PR_AUC,F1,Bal_Acc,MCC
Model_5_2L_32U,0.9846,0.9846,0.9973,0.9724,0.9253,0.8215
Model_8_3L_32U,0.9838,0.9838,0.9971,0.9707,0.9465,0.8262
Model_2_1L_32U,0.9830,0.9830,0.9971,0.9704,0.9212,0.8101
Model_6_2L_64U,0.9830,0.9830,0.9970,0.9699,0.9236,0.8092
Model_3_1L_64U,0.9818,0.9818,0.9967,0.9712,0.9206,0.8134
Model_1_1L_16U,0.9814,0.9814,0.9968,0.9708,0.9166,0.8094
Model_9_3L_64U,0.9811,0.9811,0.9967,0.9678,0.9367,0.8084
Model_4_2L_16U,0.9802,0.9802,0.9966,0.9697,0.9427,0.8195
Model_7_3L_16U,0.9778,0.9778,0.9959,0.9675,0.9306,0.8029
